  Time            lo        
HH:MM:SS   KB/s in  KB/s out
11:04:21      0.00      0.00
11:04:22      0.00      0.00
11:04:22      0.00      0.00
11:04:22      0.00      0.00
11:04:22      0.00      0.00
11:04:22      0.00      0.00
11:04:22      0.00      0.00
11:04:22      0.00      0.00
11:04:22      0.00      0.00
11:04:22      0.00      0.00
11:04:22      0.00      0.00
11:04:23      0.00      0.00
11:04:23      0.00      0.00
11:04:23  20475.24  20475.24
11:04:23  72442.50  72442.50
11:04:23  71541.42  71541.42
11:04:23  79622.68  79622.68
11:04:23  87695.51  87695.51
11:04:23  73315.73  73315.73
11:04:23  67415.76  67415.76
11:04:23  74046.01  74046.01
11:04:24  75713.65  75713.65
  Time            lo        
HH:MM:SS   KB/s in  KB/s out
11:04:24  79644.56  79644.56
11:04:24  80909.13  80909.13
11:04:24  78096.71  78096.71
11:04:24  83195.79  83195.79
11:04:24  69677.01  69677.01
11:04:24  76453.38  76453.38
11:04:24  86658.96  86658.96
11:04:24  74120.15  74120.15
11:04:24  80677.34  80677.34
11:04:25  83121.36  83121.36
11:04:25  87407.11  87407.11
11:04:25  85087.68  85087.68
11:04:25  79646.39  79646.39
11:04:25  71042.50  71042.50
11:04:25  87414.81  87414.81
11:04:25  77320.81  77320.81
11:04:25  84762.14  84762.14
11:04:25  71673.86  71673.86
11:04:25  71856.72  71856.72
11:04:26  86936.37  86936.37
11:04:26  84993.70  84993.70
11:04:26  81128.26  81128.26
  Time            lo        
HH:MM:SS   KB/s in  KB/s out
11:04:26  77956.90  77956.90
11:04:26  81307.14  81307.14
11:04:26  71996.88  71996.88
11:04:26  60391.82  60391.82
11:04:26  64940.88  64940.88
11:04:26  70967.19  70967.19
11:04:26  77340.03  77340.03
11:04:27  72003.73  72003.73
11:04:27  73362.07  73362.07
11:04:27  76406.58  76406.58
11:04:27  70565.07  70565.07
11:04:27  75668.84  75668.84
11:04:27  75553.83  75553.83
11:04:27  80464.39  80464.39
11:04:27  78174.09  78174.09
11:04:27  82379.39  82379.39
11:04:27  84834.85  84834.85
11:04:28  72502.40  72502.40
11:04:28  83275.59  83275.59
11:04:28  80762.09  80762.09
11:04:28  80446.90  80446.90
11:04:28  74402.60  74402.60
  Time            lo        
HH:MM:SS   KB/s in  KB/s out
11:04:28  90347.44  90347.44
11:04:28  75050.35  75050.35
11:04:28  76800.01  76800.01
11:04:28  89438.57  89438.57
11:04:28  82559.07  82559.07
11:04:29  70762.24  70762.24
11:04:29  68315.96  68315.96
11:04:29  88326.11  88326.11
11:04:29  75702.05  75702.05
11:04:29  82396.13  82396.13
11:04:29  84119.45  84119.45
11:04:29  74234.66  74234.66
11:04:29  78093.37  78093.37
11:04:29  84688.39  84688.39
11:04:29  73550.81  73550.81
11:04:30  73607.29  73607.29
11:04:30  71105.13  71105.13
11:04:30  75392.87  75392.87
11:04:30  70955.86  70955.86
11:04:30  86897.69  86897.69
11:04:30  73556.43  73556.43
11:04:30  71622.94  71622.94
  Time            lo        
HH:MM:SS   KB/s in  KB/s out
11:04:30  76862.98  76862.98
11:04:30  87823.64  87823.64
11:04:30  76751.58  76751.58
11:04:31  87232.11  87232.11
11:04:31  80251.27  80251.27
11:04:31  74737.03  74737.03
11:04:31  68501.65  68501.65
11:04:31  71038.83  71038.83
11:04:31  82228.96  82228.96
11:04:31  83916.66  83916.66
11:04:31  82193.87  82193.87
11:04:31  81245.76  81245.76
11:04:31  92717.93  92717.93
11:04:32  71947.79  71947.79
11:04:32  76718.49  76718.49
11:04:32  85032.76  85032.76
11:04:32  82986.06  82986.06
11:04:32  77173.36  77173.36
11:04:32  91172.85  91172.85
11:04:32  76703.14  76703.14
11:04:32  77176.23  77176.23
11:04:32  77522.58  77522.58
  Time            lo        
HH:MM:SS   KB/s in  KB/s out
11:04:32  86120.92  86120.92
11:04:33  89161.56  89161.56
11:04:33  47009.19  47009.19
11:04:33      0.00      0.00
11:04:33      0.00      0.00
11:04:33      0.00      0.00
11:04:33      0.00      0.00
11:04:33      0.00      0.00
11:04:33      0.00      0.00
11:04:33      0.00      0.00
11:04:33      0.00      0.00
11:04:34      5.29      5.29
11:04:34      0.00      0.00
11:04:34      0.00      0.00
11:04:34      0.00      0.00
11:04:34      0.00      0.00
11:04:34      0.00      0.00
11:04:34      0.00      0.00
11:04:34      0.00      0.00
11:04:34      0.00      0.00
